Date,P,D,CPI
1950.01,175.39,11.95,23.50
1950.02,178.82,12.05,23.50
1950.03,179.51,12.11,23.60
1950.04,184.58,12.21,23.60
1950.05,189.98,12.26,23.70
1950.06,192.26,12.31,23.80
1950.07,176.09,12.6,24.10
1950.08,185.19,12.93,24.30
1950.09,190.94,13.31,24.40
1950.1,197.23,13.66,24.60
1950.11,196.03,14.07,24.70
1950.12,192.9,14.36,25.00
1951.01,203.9,14.29,25.40
1951.02,209.02,14.28,25.70
1951.03,204.71,14.39,25.80
1951.04,207.45,14.51,25.80
1951.05,206.75,14.58,25.90
1951.06,203.17,14.71,25.90
1951.07,206.75,14.58,25.90
1951.08,215.8,14.46,25.90
1951.09,219.66,14.22,26.10
1951.1,217.71,13.82,26.20
1951.11,210.05,13.38,26.40
1951.12,215.7,12.99,26.50
1952.01,222.89,13.02,26.50
1952.02,220.5,13.15,26.30
1952.03,221.06,13.18,26.30
1952.04,219.57,13.23,26.40
1952.05,219.48,13.32,26.40
1952.06,224.64,13.36,26.50
1952.07,229.36,13.26,26.70
1952.08,230.28,13.26,26.70
1952.09,226.62,13.26,26.70
1952.1,221.86,13.14,26.70
1952.11,228.9,13.02,26.70
1952.12,238.14,12.89,26.70
1953.01,240.32,12.94,26.60
1953.02,238.28,12.99,26.50
1953.03,238.58,12.94,26.60
1953.04,226.83,12.97,26.60
1953.05,227.17,12.96,26.70
1953.06,218.21,12.94,26.80
1953.07,221.31,12.94,26.80
1953.08,221.39,12.89,26.90
1953.09,211.23,12.89,26.90
1953.1,216.77,12.93,27.00
1953.11,222.39,13.07,26.90
1953.12,225.39,13.16,26.90
1954.01,231.1,13.22,26.90
1954.02,236.19,13.28,26.90
1954.03,241.18,13.34,26.90
1954.04,251.74,13.33,26.80
1954.05,260.79,13.22,26.90
1954.06,262.87,13.16,26.90
1954.07,273.5,13.22,26.90
1954.08,278.94,13.28,26.90
1954.09,286.54,13.39,26.80
1954.1,293.19,13.61,26.80
1954.11,304.67,13.82,26.80
1954.12,319.81,14.08,26.70
1955.01,325.57,14.14,26.70
1955.02,336.45,14.21,26.70
1955.03,333.8,14.27,26.70
1955.04,345.32,14.3,26.70
1955.05,343.86,14.33,26.70
1955.06,363.79,14.36,26.70
1955.07,388.95,14.46,26.80
1955.08,386.58,14.61,26.80
1955.09,402.48,14.71,26.90
1955.1,382.24,14.77,26.90
1955.11,408.02,14.83,26.90
1955.12,413.37,14.94,26.80
1956.01,402.25,15.22,26.80
1956.02,404.8,15.49,26.80
1956.03,432.68,15.76,26.80
1956.04,436.16,15.92,26.90
1956.05,420.89,16.07,27.00
1956.06,415.37,16.16,27.20
1956.07,434.7,16.16,27.40
1956.08,433.7,16.34,27.30
1956.09,417.42,16.4,27.40
1956.1,410.57,16.04,27.50
1956.11,406.31,15.75,27.50
1956.12,410.85,15.39,27.60
1957.01,401.92,15.36,27.60
1957.02,383.19,15.28,27.70
1957.03,386.73,15.2,27.80
1957.04,394.27,15.14,27.90
1957.05,407.95,15.09,28.00
1957.06,413.19,15.03,28.10
1957.07,418.55,15.01,28.30
1957.08,395.51,15.1,28.30
1957.09,379.47,15.19,28.30
1957.1,355.82,15.27,28.30
1957.11,346.92,15.3,28.40
1957.12,346.75,15.39,28.40
1958.01,351.07,15.23,28.60
1958.02,352.26,15.17,28.60
1958.03,357.02,15.01,28.80
1958.04,357.73,14.84,28.90
1958.05,369.22,14.73,28.90
1958.06,378.09,14.62,28.90
1958.07,387.15,14.57,29.00
1958.08,403.02,14.62,28.90
1958.09,413.66,14.62,28.90
1958.1,430.48,14.67,28.90
1958.11,442.04,14.68,29.00
1958.12,451.94,14.79,28.90
1959.01,468.31,14.79,29.00
1959.02,462.75,14.9,28.90
1959.03,474.5,14.95,28.90
1959.04,480.77,14.96,29.00
