YEAR,QUARTER,ID,Nowcast,Forecast
1968,4,1,51.00,51.10
1968,4,2,52.00,50.00
1968,4,3,#N/A,#N/A
1968,4,4,49.60,48.50
1968,4,5,52.50,54.10
1968,4,6,52.00,52.00
1968,4,7,50.00,49.00
1968,4,8,50.70,49.50
1968,4,9,52.00,51.00
1968,4,10,50.00,49.80
1968,4,11,51.50,48.50
1968,4,12,51.20,51.80
1968,4,13,#N/A,#N/A
1968,4,14,50.00,50.00
1968,4,15,50.80,50.50
1968,4,16,51.50,51.50
1968,4,17,52.00,52.60
1968,4,18,51.20,50.80
1968,4,19,51.50,51.00
1968,4,20,52.00,51.00
1968,4,21,51.50,52.00
1968,4,22,52.00,52.00
1968,4,23,50.00,50.00
1968,4,24,50.00,50.00
1968,4,25,48.50,48.90
1968,4,26,#N/A,#N/A
1968,4,27,50.50,50.00
1968,4,29,51.50,51.00
1968,4,30,50.00,49.00
1968,4,31,51.00,48.00
1968,4,32,50.00,48.00
1968,4,33,52.00,53.00
1968,4,34,51.00,50.00
1968,4,35,51.00,50.00
1968,4,36,50.30,49.10
1968,4,37,56.00,59.00
1968,4,38,#N/A,#N/A
1968,4,39,51.00,50.00
1968,4,40,#N/A,#N/A
1968,4,41,52.50,53.30
1968,4,42,#N/A,#N/A
1968,4,43,53.00,54.00
1968,4,45,51.00,51.00
1968,4,46,50.00,49.00
1968,4,47,51.50,51.90
1968,4,48,51.00,49.00
1968,4,49,50.00,49.00
1968,4,50,51.00,50.00
1968,4,51,52.50,53.20
1968,4,52,51.00,50.00
1968,4,53,49.00,47.00
1968,4,54,51.00,50.00
1968,4,55,#N/A,#N/A
1968,4,56,52.00,53.20
1968,4,57,50.00,48.00
1968,4,58,51.00,49.80
1968,4,59,51.00,49.00
1968,4,60,50.00,50.00
1968,4,61,52.00,52.50
1968,4,62,52.00,51.00
1968,4,63,53.00,54.00
1968,4,64,53.00,51.00
1968,4,65,51.00,51.00
1968,4,66,51.60,52.00
1968,4,67,#N/A,#N/A
1968,4,68,#N/A,#N/A
1968,4,69,53.00,55.00
1968,4,70,52.00,51.50
1968,4,71,51.50,51.80
1968,4,72,52.50,53.00
1968,4,73,51.60,52.30
1968,4,74,52.00,53.00
1968,4,75,51.00,51.00
1968,4,76,52.00,53.00
1968,4,77,#N/A,#N/A
1968,4,78,52.30,53.00
1968,4,79,52.00,52.00
1968,4,80,49.00,47.00
1968,4,81,51.50,50.00
1968,4,82,51.50,52.00
1968,4,83,53.00,52.00
1968,4,84,#N/A,#N/A
1968,4,85,49.00,49.00
1968,4,86,51.50,51.00
1968,4,87,51.00,51.60
1968,4,88,50.50,51.00
1968,4,89,50.60,48.70
1969,1,2,50.40,49.80
1969,1,3,51.00,49.00
1969,1,4,49.00,48.50
1969,1,6,41.50,41.00
1969,1,7,52.00,52.00
1969,1,8,49.50,50.30
1969,1,9,51.00,51.00
1969,1,10,50.00,51.00
1969,1,15,52.50,52.50
1969,1,16,51.50,51.00
1969,1,18,51.30,50.20
1969,1,21,52.00,51.50
1969,1,22,52.00,52.00
1969,1,23,52.00,51.00
1969,1,26,51.00,51.00
1969,1,28,#N/A,#N/A
1969,1,29,51.00,51.00
1969,1,30,48.50,49.00
1969,1,31,48.00,49.00
1969,1,32,50.00,49.00
1969,1,37,58.00,59.00
1969,1,38,53.00,53.00
1969,1,39,50.50,51.50
1969,1,40,#N/A,#N/A
1969,1,41,48.20,46.80
1969,1,42,#N/A,#N/A
1969,1,43,54.00,57.00
1969,1,44,53.50,53.00
1969,1,46,50.00,49.00
1969,1,48,49.00,48.00
1969,1,49,51.90,50.30
1969,1,50,#N/A,#N/A
1969,1,51,52.50,52.50
1969,1,52,52.00,51.00
1969,1,53,48.00,50.00
1969,1,54,51.50,52.50
1969,1,57,49.50,48.50
1969,1,58,53.80,52.70
1969,1,59,52.00,52.00
1969,1,60,51.00,51.00
1969,1,61,54.70,55.00
1969,1,62,51.00,52.00
1969,1,64,51.50,48.00
1969,1,65,51.00,50.00
1969,1,66,52.00,51.00
1969,1,67,52.00,50.00
1969,1,69,54.00,54.00
1969,1,70,52.00,51.50
1969,1,72,53.00,53.00
1969,1,73,52.20,52.60
1969,1,74,52.50,50.00
1969,1,77,51.20,51.00
1969,1,78,52.00,51.70
1969,1,79,51.20,52.70
1969,1,81,51.00,51.00
1969,1,84,53.00,53.00
1969,1,85,50.00,50.20
1969,1,89,50.60,50.10
1969,1,90,50.00,50.00
1969,1,91,51.50,51.00
1969,1,92,52.00,53.00
1969,1,93,52.00,51.50
1969,1,94,50.70,50.30
1969,1,95,#N/A,#N/A
1969,1,96,53.90,54.30
1969,2,1,53.50,53.50
1969,2,3,52.50,53.00
1969,2,4,54.00,54.00
1969,2,6,50.00,48.00
1969,2,8,53.00,52.00
1969,2,9,55.00,55.00
1969,2,10,51.00,51.00
1969,2,13,#N/A,#N/A
1969,2,15,53.60,53.00
1969,2,16,51.50,51.50
1969,2,18,51.60,51.50
1969,2,21,52.30,50.90
1969,2,23,54.00,53.00
1969,2,26,53.00,51.00
1969,2,27,#N/A,#N/A
1969,2,28,55.20,57.20
1969,2,30,53.00,52.00
1969,2,31,54.00,52.00
1969,2,32,52.50,53.50
1969,2,33,55.00,55.00
1969,2,35,53.00,52.00
1969,2,38,55.00,56.00
1969,2,40,#N/A,#N/A
1969,2,41,#N/A,#N/A
1969,2,42,#N/A,#N/A
1969,2,43,57.00,58.00
1969,2,45,52.00,50.00
1969,2,46,51.00,49.00
1969,2,47,52.50,51.50
1969,2,48,51.50,51.50
1969,2,49,52.70,51.90
1969,2,50,#N/A,#N/A
1969,2,51,53.00,52.50
1969,2,52,50.50,51.00
1969,2,53,52.50,51.00
1969,2,55,52.00,50.50
1969,2,56,51.00,50.00
1969,2,58,50.90,50.50
1969,2,61,54.00,53.50
1969,2,62,55.00,56.00
1969,2,64,52.00,47.00
1969,2,66,55.30,55.50
1969,2,67,53.30,53.00
1969,2,69,55.00,55.00
1969,2,70,53.00,51.50
1969,2,72,53.00,52.50
1969,2,73,53.20,53.20
1969,2,74,54.00,51.80
1969,2,75,53.00,52.00
1969,2,79,52.70,50.80
1969,2,81,52.00,51.00
1969,2,82,54.00,52.00
1969,2,83,57.00,58.00
1969,2,85,50.90,50.50
1969,2,86,53.30,53.70
1969,2,88,51.40,52.20
1969,2,89,51.30,50.90
1969,2,90,#N/A,#N/A
1969,2,92,54.00,53.00
1969,3,1,51.50,51.00
1969,3,3,51.00,49.00
1969,3,6,#N/A,#N/A
1969,3,10,50.00,50.00
1969,3,13,52.00,53.00
1969,3,14,51.50,51.00
1969,3,15,52.30,52.30
1969,3,18,50.80,50.40
1969,3,22,51.90,51.70
1969,3,23,52.00,52.00
1969,3,24,49.40,49.20
1969,3,26,52.00,52.00
1969,3,29,50.50,49.70
1969,3,30,50.00,49.60
1969,3,31,53.00,54.00
1969,3,33,54.00,54.00
1969,3,34,51.00,50.00
1969,3,38,50.50,50.00
1969,3,39,49.10,49.70
